name,country,room_types,booked,rating,nights,like_review,traveler_type,reviewed,review_title,longitude,latiude
Shashank,India,Deluxe Room Sea View with Sitout - King Bed,2024-03-01,10,4,Excellent location. Clean rooms. Right next to the beach. Lovely pool. Great food. Wonderful staff. Everything!,Family,2024-03-27,A perfect vacation,78.9629,20.5937
Nirav,India,Deluxe Room Sea View - King Bed,2024-03-01,10,2,"Cleanliness
Well maintained 
Mixture of Traditional and Modern",Family,2024-03-22,"Fantabulous, Exceptional, Marvellous",78.9629,20.5937
Suvratha,Germany,Deluxe Room Sea View - King Bed,2024-03-01,9,2,"Friendly staff, beautiful location, right next to the beach. The breakfast was good. Clean rooms.",Couple,2024-03-21,Good stay,10.4515,51.1657
Allen,India,Deluxe Room Sea View with Sitout - King Bed,2024-03-01,10,1,Overall experience was great.,Family,2024-03-19,Exceptional,78.9629,20.5937
Jill,United States,Aguada Cottage Sea View - King Bed,2024-03-01,10,7,"The sea view was unbelievably beautiful, as was the garden setting. We also liked the privacy of the cottage and its decor. It was fun to explore both Taj properties and eat in various restaurants. Our favorite was the Banyan Tree, and we were pleasantly surprised with the variety at Caravela in the early evening. We are glad we chose the Fort Aguada Taj because it felt more intimate and because we didn't like the alcohol bar mentality at the Holiday Village pool. Kudos to Kailash in housekeeping and Aarushi at the breakfast buffet. We decided halfway through our stay that we didn't want to take any more tours. Why leave the fabulous Taj Fort Aguada resort when it was the best part of our vacation?",Couple,2024-03-18,An oasis of peace and beauty in an otherwise hectic world.,-95.7129,37.0902
Srikar,India,Hermitage Villa - Sea View - One Bedroom,2024-03-01,10,2,The best hospitality ever received,Family,2024-03-11,Everything was great. Travelled with an infant. The checkin/checkout arrangements were hassle free. The shuttle serv,78.9629,20.5937
Jatin,Lithuania,Superior Room Garden View with Sitout - King Bed,2024-03-01,10,8,"Just about everything in our holiday was incredible. The beautiful views from the resort, the ability of our kids to play freely across two properties, and the unbelievable pampering we received from the staff from the staff.
By the end, we just didn't want to leave, even though we had been there 8 days. 

Some of the absolute gems of the staff I'd like to highlight -

Avila from the Caravela restaurant. She pampered our kids no end, was one of the sweetest people we've ever met. 
Abigail, Jesyl and Abhirami from the reception- they were so helpful always. Also fussing over us.
Sanjeev and Sahoo from the pool across both the properties. Very caring and careful about the kids in the pool.
Gurvinder - the fnb manager. really went out of his way to give us great coffee.
Chef Ashutosh from Kokum, and the chef at Caravela- went out of their ways to give us some things which were not on the menu.",Family,2024-03-08,Idyllic ideal holiday. One of the best of our lives.,23.8813,55.1694
Mahesh,United Kingdom,Superior Room Garden View with Sitout - King Bed,2024-02-01,10,2,The view of the beach . The paper boat italian restaurant is super good .,Family,2024-03-04,Excellent views from  the hotel,-0.1276,55.3781
David,United Kingdom,Deluxe Room Sea View with Sitout - King Bed,2024-03-01,9,7,Fantastic location. Comfortable room and sit-out area. Lovely Italian restaurant. Good breakfasts. Lovely pool area. Great service from everyone.,Couple,2024-03-02,Wonderful holiday with great service in a beautiful location,-0.1276,55.3781
Neil,United Kingdom,Deluxe Room Sea View with Sitout - King Bed,2024-02-01,10,14,"Set in a stunning location, lovely hotel, simply amazing staff, excellent shuttle facilities between the nearby sister resort. The pool staff were very very attentive, moving the parasols whenever you wanted shade and keeping us hydrated with regular bottles of cold water. Great secure access to the nearby beach, bars etc and the food was consistently excellent, both breakfast and dinner!",Couple,2024-02-29,Amazing location and a perfect place for a relaxing holiday!,-0.1276,55.3781
Ravinder,United Arab Emirates,Aguada Cottage Sea View - King Bed,2024-02-01,9,2,"Crowded for Breakfast given the last hour but good alternative arrangement was made , exceptional service.
 Swimming pool manager/ attendant Sanjeev was a thorough Professional.",Couple,2024-02-28,Great stay has definite repeat value for me.,55.2962,23.4241
Sumit,India,Presidential Villa - Three Bedrooms,2024-02-01,9,4,Very good spread,Group,2024-02-14,Very well taken care - guest relations - Jessyl was excellent,78.9629,20.5937
Atul,India,Aguada Cottage Sea View - King Bed,2024-02-01,10,5,Breakfast was a wide spread and delicious,Couple,2024-02-10,Fabulous,78.9629,20.5937
Kumar,India,Superior Room Garden View with Sitout - Twin Bed,2024-01-01,9,2,Great location. Property lived upto the TAJ standards. Access road to property was comfortable.,Family,2024-02-04,Amazing and one of the best properties in Goa,78.9629,20.5937
Saneer,United Arab Emirates,Deluxe Room Sea View with Sitout - King Bed,2024-02-01,8,2,Location and hermitage rooms,Couple,2024-02-01,Very good,55.2962,23.4241
Pamela,United Kingdom,Deluxe Room Sea View - King Bed,2024-01-01,9,3,Fab location right on the beach and lots of local restaurants as an alternative to the hotel,Couple,2024-01-31,"We loved the hotel, staff , location and food was delicious",-0.1276,55.3781
