country,latitude,longitude,name,room_types,booked,rating,nights,review,traveler_type,reviewed,review_title
 United Arab Emirates,23.4241,53.8478,Adam,Junior Suite with King Bed ,2024-04,10.0,4,"It was a great hotel. Very clean, lovely breakfast selection, staff very friendly and helpful. Owners were present at breakfast checking all was well and sent a chocolate cake to our room.

Bottled water and toiletries replenished every day when room was serviced. Clean towels every day. 

Comfortable bed, two tvs, sofas as we had a junior suite. All very tastefully decorated. Little balcony with seats and table. We loved our stay and didn't want to leave.",Family,2024-04-11,Great hotel
 India,20.5937,78.9629,Khusru,Junior Suite with Twin Bed ,2024-03,9.0,3,Excellent service. Clean. Good facilities. Peaceful.,Family,2024-04-10,Comfortable and amazing stay.
 United Kingdom,55.3781,-3.436,Debby,Junior Suite with Twin Bed ,2024-03,10.0,14,So tranquil compared to madness of Candolim. Brilliant staff from gardener to chef,Couple,2024-04-08,Beautiful surroundings for a totalling relaxing holiday
 United Arab Emirates,23.4241,53.8478,Graeme,Junior Suite with King Bed ,2024-04,10.0,5,"Generous clean rooms
Short walk to beach and dozens of restaurants and bars
Very friendly staff with lovely greetings each morning at breakfast and helpful suggestions throughout the day. Special thanks to Jeevan at the desk, Surya for thorough room cleaning, Sandesh and Sofia in the restaurant and Chef Nitin for catering for my dietary needs.",Couple,2024-04-08,Wonderful Week
 United Kingdom,55.3781,-3.436,Fiona,Junior Suite with Twin Bed ,2024-04,9.0,4,"It’s a lovely clean hotel with friendly staff. It had a great variety for breakfast and the owner and the manager speak to you personally every morning. We enjoyed the swimming pool area and spent most days there and great location with lots of restaurants, bars and shopping just outside the hotel. Candolim beach is a short walk away",Family,2024-04-07,Great hotel with good location
 United Kingdom,55.3781,-3.436,Nikhil,Junior Suite with Twin Bed ,2024-03,10.0,2,"Excellent location, friendly staff and lovely food.",Group,2024-04-06,Perfect location and excellent hotel
 Belgium,50.5039,4.4699,Andrea,Junior Suite with King Bed ,2024-04,10.0,4,Cleaned and the staff are amazing,Couple,2024-04-06,Exceptional
 United Kingdom,55.3781,-3.436,Russell,Junior Suite with King Bed ,2024-03,10.0,6,The service all round was excellent,Couple,2024-03-29,"Well looked after, and it felt like home"
 United Kingdom,55.3781,-3.436,Louise,Two-Bedroom Villa with Garden View ,2024-03,9.0,3,Lovely property with great staff. Great roof terrace with great mojitos and amazing food. Great value.,Group,2024-03-26,Loved it!
 India,20.5937,78.9629,Jarnail,Junior Suite with King Bed ,2024-03,10.0,5,The property is a few minutes walk away from the beach.,Family,2024-03-24,We were able to relax and enjoy as a family.
